"notification_id","user_id","ticket_id","message","is_read","created_at"
1,2,25,"New comment added on your ticket",False,"2026-04-16 06:50:43.558972"
2,17,31,"New ticket assigned to you",False,"2026-05-20 10:23:42.174365"
3,22,31,"Your ticket has been assigned",False,"2026-05-20 10:23:42.185849"
4,17,31,"New ticket assigned to you",False,"2026-05-20 10:23:43.183332"
5,22,31,"Your ticket has been assigned",False,"2026-05-20 10:23:43.190016"
6,22,31,"New comment added on your ticket",False,"2026-05-20 13:22:40.696626"
7,22,31,"New comment added on your ticket",False,"2026-05-26 06:27:04.172516"
8,23,32,"New comment added on your ticket",False,"2026-05-26 07:28:17.102127"
9,23,32,"New comment added on your ticket",False,"2026-05-26 07:29:00.492716"
10,11,35,"New ticket assigned to you",False,"2026-05-27 10:24:41.219624"
11,23,35,"Your ticket has been assigned",False,"2026-05-27 10:24:41.229549"
12,11,35,"New ticket assigned to you",False,"2026-05-27 10:24:42.877219"
13,23,35,"Your ticket has been assigned",False,"2026-05-27 10:24:42.884053"
14,27,102,"New comment added on your ticket",False,"2026-06-03 18:22:21.837282"
15,1,106,"New ticket assigned to you",False,"2026-06-04 11:29:13.676742"
16,27,106,"Your ticket has been assigned",False,"2026-06-04 11:29:13.687547"
17,1,107,"New ticket assigned to you",False,"2026-06-04 15:01:56.014262"
18,27,107,"Your ticket has been assigned",False,"2026-06-04 15:01:56.047206"
19,1,109,"New ticket assigned to you",False,"2026-06-04 15:45:49.673761"
20,27,109,"Your ticket has been assigned",False,"2026-06-04 15:45:49.693844"
21,28,110,"New ticket assigned to you",False,"2026-06-04 16:11:34.726124"
22,27,110,"Your ticket has been assigned",False,"2026-06-04 16:11:34.750907"
23,27,110,"New comment added on your ticket",False,"2026-06-04 16:18:27.31825"
24,27,110,"New comment added on your ticket",False,"2026-06-04 16:18:56.993482"
25,27,109,"New comment added on your ticket",False,"2026-06-04 16:40:44.151117"
26,10,122,"New ticket assigned to you",False,"2026-06-05 19:35:22.039665"
27,28,122,"Your ticket has been assigned",False,"2026-06-05 19:35:22.063593"
28,1,3,"SLA breached for ticket TKC20260409073013",False,"2026-06-08 01:04:41.943401"
29,10,122,"SLA breached for ticket TKC20260605171832",False,"2026-06-08 01:04:46.143135"
30,27,128,"New ticket assigned to you",False,"2026-06-08 11:33:54.360404"
31,28,128,"Your ticket has been assigned",False,"2026-06-08 11:33:54.373289"
32,28,128,"New comment added on your ticket",False,"2026-06-08 11:41:57.378834"
33,28,128,"New comment added on your ticket",False,"2026-06-08 12:02:30.392389"
34,27,128,"New comment on a ticket assigned to you",False,"2026-06-08 12:02:30.408404"
35,27,133,"New ticket assigned to you",False,"2026-06-09 00:38:42.603337"
36,28,133,"Your ticket has been assigned",False,"2026-06-09 00:38:42.64355"
37,27,133,"New ticket assigned to you",False,"2026-06-09 00:38:45.693472"
38,28,133,"Your ticket has been assigned",False,"2026-06-09 00:38:45.783669"
39,28,133,"New comment added on your ticket",False,"2026-06-09 00:39:38.403661"
40,28,133,"New comment added on your ticket",False,"2026-06-09 00:43:45.805474"
41,27,133,"New comment on a ticket assigned to you",False,"2026-06-09 00:43:45.844041"
42,27,133,"SLA breached for ticket TKC20260609003721",False,"2026-06-09 09:36:19.184028"
43,1,133,"SLA breached for team ticket TKC20260609003721",False,"2026-06-09 09:36:19.200722"
44,27,134,"New ticket assigned to you",False,"2026-06-09 11:28:11.672542"
45,28,134,"Your ticket has been assigned",False,"2026-06-09 11:28:11.834844"
46,27,134,"New ticket assigned to you",False,"2026-06-09 11:28:15.221642"
47,28,134,"Your ticket has been assigned",False,"2026-06-09 11:28:15.346341"
48,27,138,"New ticket assigned to you",False,"2026-06-10 11:03:14.525749"
49,28,138,"Your ticket has been assigned",False,"2026-06-10 11:03:14.599459"
50,27,138,"New comment on a ticket assigned to you",False,"2026-06-10 11:06:25.232303"
51,27,139,"New ticket assigned to you",False,"2026-06-10 11:14:06.145068"
52,28,139,"Your ticket has been assigned",False,"2026-06-10 11:14:06.454731"
53,27,141,"New ticket assigned to you",False,"2026-06-10 12:03:44.78515"
54,28,141,"Your ticket has been assigned",False,"2026-06-10 12:03:44.845643"
