"client_id","client_name","organization","created_at","updated_at"
1,"Hansa Cequity",1,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
2,"Hansa Direct",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
3,"Autosense",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
4,"Mahindra Farm",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
5,"Mahindra Powerol",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
6,"Mahindra Samriddhi",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
7,"MRC Outbound",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
8,"MRC WYH 6006",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
9,"Support",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
10,"Westside",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
11,"Hansa Cequity/Autosense",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
12,"ORM",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
13,"Training",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
14,"Krish-e",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
15,"UltraTech",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
16,"Cholamandalam",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
17,"RSA",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
18,"My TVS/AL",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
19,"Adhiraj",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
20,"Sarvagram",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
21,"Fasal",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
22,"CRM",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
